,uid,iid,ts
0,0,32,948783600
1,0,28,951202800
2,0,25,951289200
3,0,26,951289200
4,0,27,951289200
5,0,24,951807600
6,0,23,952239600
7,0,20,954399600
8,0,21,954399600
9,0,18,956214000
10,0,15,971247600
11,0,14,972198000
12,0,0,973580400
13,0,13,973580400
14,0,12,973753200
15,1,38,963126000
16,1,40,963126000
17,1,41,963126000
18,1,42,963126000
19,1,43,963126000
20,1,45,963126000
21,1,46,963126000
22,1,47,963126000
23,1,37,963212400
24,1,33,970556400
25,1,34,970556400
26,1,35,970556400
27,1,36,970556400
28,2,57,955868400
29,2,56,955954800
30,2,55,956905200
31,2,54,960274800
32,2,51,960793200
33,2,52,960793200
34,2,49,964335600
35,2,48,969606000
36,3,61,963644400
37,3,62,963644400
38,3,63,963644400
39,3,59,963730800
40,3,60,963730800
41,4,78,947142000
42,4,79,947142000
43,4,77,947228400
44,4,75,947487600
45,4,76,947487600
46,4,74,947574000
47,4,73,947833200
48,4,72,947919600
49,4,70,951721200
50,4,69,964422000
51,4,68,973234800
52,4,67,975222000
53,4,66,1013497200
54,4,65,1108364400
55,5,91,958201200
56,5,92,958201200
57,5,89,958374000
58,5,87,958633200
59,5,85,958978800
60,5,78,959238000
61,5,83,959324400
62,5,84,959324400
63,5,80,961484400
64,5,81,961484400
65,6,111,960274800
66,6,113,960274800
67,6,114,960274800
68,6,115,960274800
69,6,110,961657200
70,6,105,963212400
71,6,106,963212400
72,6,107,963212400
73,6,109,963212400
74,6,103,966063600
75,6,102,967791600
76,6,101,977814000
77,6,93,1105513200
78,7,127,962262000
79,7,128,962262000
80,7,129,962262000
81,7,123,962348400
82,7,124,962348400
83,7,125,962348400
84,7,126,962348400
85,7,122,962434800
86,7,119,962521200
87,7,120,962521200
88,7,121,962521200
89,7,117,962866800
90,8,132,962521200
91,8,133,962521200
92,8,134,962521200
93,8,135,962521200
94,8,136,962521200
95,8,137,962521200
96,8,120,962780400
97,8,130,962780400
98,8,131,962780400
99,9,144,965286000
100,9,145,965286000
101,9,143,965372400
102,9,140,973666800
103,9,141,973666800
104,9,142,973666800
105,9,139,978591600
106,9,138,986540400
107,10,150,947487600
108,10,151,947487600
109,10,149,948610800
110,10,148,948697200
111,10,147,961052400
112,10,8,963212400
113,10,146,1077519600
114,11,163,955436400
115,11,159,955522800
116,11,162,955522800
117,11,155,956041200
118,11,156,956041200
119,11,157,956041200
120,11,153,956127600
121,11,154,956127600
122,12,169,959065200
123,12,170,959065200
124,12,172,959065200
125,12,173,959065200
126,12,174,959065200
127,12,168,959238000
128,12,167,962175600
129,12,166,966322800
130,13,180,945759600
131,13,178,947746800
132,13,177,954918000
133,13,21,955609200
134,13,175,983430000
135,14,195,947142000
136,14,193,954918000
137,14,194,954918000
138,14,192,955004400
139,14,191,964162800
140,14,187,1051167600
141,14,186,1060153200
142,14,185,1062313200
143,14,182,1108450800
144,14,181,1184396400
145,15,113,977986800
146,15,236,977986800
147,15,234,978073200
148,15,235,978073200
149,15,233,978159600
150,15,229,978418800
151,15,230,978418800
152,15,231,978418800
153,15,225,978505200
154,15,226,978505200
155,15,227,978505200
156,15,228,978505200
157,15,220,978678000
158,15,221,978678000
159,15,222,978678000
160,15,223,978678000
161,15,219,984207600
162,15,211,984466800
163,15,212,984466800
164,15,214,984466800
165,15,216,984466800
166,15,217,984466800
167,15,207,984553200
168,15,208,984553200
169,15,202,984639600
170,15,203,984639600
171,15,204,984639600
172,15,206,984639600
173,15,199,987490800
174,15,200,987490800
175,15,201,987490800
176,15,197,992156400
177,15,198,992156400
178,15,196,1004943600
179,16,262,949734000
180,16,261,950166000
181,16,259,950338800
182,16,257,950684400
183,16,254,950943600
184,16,255,950943600
185,16,253,951030000
186,16,96,951116400
187,16,251,951289200
188,16,250,951548400
189,16,249,955090800
190,16,245,955177200
191,16,246,955177200
192,16,247,955177200
193,16,248,955177200
194,16,244,955263600
195,16,241,960620400
196,16,240,962348400
197,16,239,965977200
198,17,275,948178800
199,17,272,948351600
200,17,273,948351600
201,17,274,948351600
202,17,270,948697200
203,17,266,948783600
204,17,267,948783600
205,17,268,948783600
206,17,269,948783600
207,17,70,948956400
208,17,77,948956400
209,17,265,948956400
210,17,264,958806000
211,17,263,958892400
212,18,108,971506800
213,18,310,971506800
214,18,126,971593200
215,18,308,971593200
216,18,309,971593200
217,18,305,971679600
218,18,306,971679600
219,18,307,971679600
220,18,296,972025200
221,18,298,972025200
222,18,299,972025200
223,18,292,972284400
224,18,294,972284400
225,18,291,972543600
226,18,285,972975600
227,18,286,972975600
228,18,288,972975600
229,18,289,972975600
230,18,290,972975600
231,19,56,953881200
232,19,127,953881200
233,19,318,953967600
234,19,319,953967600
235,19,316,954226800
236,19,317,954226800
237,19,315,954486000
238,19,313,955868400
239,19,312,956386800
240,20,91,961484400
241,20,331,961484400
242,20,333,961484400
243,20,334,961484400
244,20,38,961570800
245,20,70,961570800
246,20,325,961570800
247,20,326,961570800
248,20,327,961570800
249,20,328,961570800
250,20,329,961570800
251,20,330,961570800
252,20,324,970038000
253,20,323,996044400
254,20,322,1022137200
255,21,345,941094000
256,21,342,942303600
257,21,343,942303600
258,21,341,942735600
259,21,339,943686000
260,21,340,943686000
261,21,338,943772400
262,21,337,944982000
263,21,335,945759600
264,22,353,967878000
265,22,354,967878000
266,22,351,967964400
267,22,352,967964400
268,22,349,968050800
269,22,350,968050800
270,22,347,968223600
271,22,348,968223600
272,22,59,968310000
273,22,160,968310000
274,22,346,969087600
275,23,371,937206000
276,23,372,937206000
277,23,373,937206000
278,23,370,942735600
279,23,369,942822000
280,23,367,945586800
281,23,364,948092400
282,23,365,948092400
283,23,366,948092400
284,23,363,948265200
285,23,362,948697200
286,23,360,962089200
287,23,361,962089200
288,23,358,963126000
289,23,357,974617200
290,23,355,985417200
291,23,356,985417200
292,24,385,953967600
293,24,382,954399600
294,24,384,954399600
295,24,370,954486000
296,24,380,954486000
297,24,381,954486000
298,24,378,954572400
299,24,379,954572400
300,24,377,955954800
301,24,375,973407600
302,24,374,986713200
303,25,425,958460400
304,25,423,958546800
305,25,424,958546800
306,25,421,958892400
307,25,420,959238000
308,25,418,960534000
309,25,417,960966000
310,25,416,961398000
311,25,415,961743600
312,25,414,961830000
313,25,413,962780400
314,25,358,963212400
315,25,412,963212400
316,25,410,963644400
317,25,409,963817200
318,25,408,964162800
319,25,406,964335600
320,25,403,964508400
321,25,404,964508400
322,25,402,964594800
323,25,401,965804400
324,25,400,966236400
325,25,34,969865200
326,25,398,969865200
327,25,397,970556400
328,25,396,971247600
329,25,395,971938800
330,25,394,972284400
331,25,393,972370800
332,25,392,973062000
333,25,391,987404400
334,25,390,987490800
335,25,387,1099292400
336,25,386,1101106800
337,26,441,971506800
338,26,442,971506800
339,26,439,972025200
340,26,438,972975600
341,26,437,973753200
342,26,436,975049200
343,26,435,975999600
344,26,434,979023600
345,26,433,981356400
346,26,432,982998000
347,26,430,986022000
348,26,427,1013670000
349,26,428,1013670000
350,26,429,1013670000
351,26,426,1018162800
352,27,453,946882800
353,27,454,946882800
354,27,452,946969200
355,27,451,947055600
356,27,449,947314800
357,27,448,947401200
358,27,447,947487600
359,27,446,949302000
360,27,445,949820400
361,27,444,950425200
362,27,443,967273200
363,28,488,956646000
364,28,486,956818800
365,28,487,956818800
366,28,484,956905200
367,28,482,957164400
368,28,483,957164400
369,28,480,957337200
370,28,481,957337200
371,28,479,957682800
372,28,477,957769200
373,28,45,960015600
374,28,474,960188400
375,28,475,960188400
376,28,265,962175600
377,28,28,962262000
378,28,342,962348400
379,28,471,968569200
380,28,470,970038000
381,28,469,970988400
382,28,468,971593200
383,28,467,974876400
