src,dst
8066,16303
8066,3500
8066,6055
8066,12916
8066,7048
8066,3361
8066,1752
8066,14187
8066,3753
8066,2934
8066,15394
8066,3003
8066,1423
8066,3498
8066,13201
8066,11589
8066,12404
8066,16397
8066,11051
8066,16365
8066,14146
8066,9938
8066,3559
8066,16865
8066,4389
8066,17287
8066,1919
8066,8723
8066,8780
8066,7560
8066,8459
8066,16942
8066,3265
8066,13242
8066,17014
8066,6628
8066,11976
8066,2102
8066,793
8066,660
8066,9883
8066,159
8066,1603
8066,14665
8066,4161
8066,12704
8066,2790
8066,7587
8066,14925
8066,12891
8066,15288
8066,15259
8066,15100
8066,10163
8066,3437
8066,4270
8066,3649
8066,12687
8066,13075
8066,10232
8066,12152
8066,1404
8066,2349
8066,12837
8066,5718
8066,11227
8066,5058
8066,6934
8066,7517
8066,11863
8066,10443
8066,16576
8066,11274
8066,9025
8066,8348
8066,16847
8066,5484
8066,4167
8066,17163
8066,7862
8066,3809
8066,13711
8066,1541
8066,2174
8066,2012
8066,11102
8066,3839
8066,17329
8066,7490
8066,4539
8066,9401
8066,6569
8066,12714
8066,5321
8066,14249
8066,16027
8066,2106
8066,11532
8066,3650
8066,17816
8066,7577
8066,15496
8066,1428
8066,1616
8066,4374
8066,8351
8066,13584
8066,9889
8066,14983
8066,13015
8066,4647
8066,15099
8066,4563
8066,3284
8066,11733
8066,11556
8066,1693
8066,473
8066,7528
8066,17186
8066,16353
8066,10438
8066,59
8066,10052
8066,11137
8066,2878
8066,15418
8066,2549
8066,157
8066,17924
8066,1717
8066,430
8066,7443
8066,11246
8066,12228
8066,13385
8066,15749
8066,7858
8066,6397
8066,8295
8066,10700
8066,3817
8066,14536
8066,14053
8066,13353
8066,11939
8066,8870
8066,7283
8066,56
8066,11631
8066,7040
8066,9243
8066,8684
8066,621
8066,1876
8066,6530
8066,980
8066,9730
8066,13044
8066,9275
8066,12789
8066,12043
8066,13410
8066,12066
8066,4040
8066,2276
8066,6992
8066,17094
8066,9070
8066,14732
8066,5726
8066,2588
8066,7554
8066,11769
8066,13777
8066,7366
8066,11025
8066,3967
8066,2291
8066,2013
8066,9882
8066,7673
8066,11087
8066,2521
8066,10184
8066,12771
8066,2819
8066,6711
8066,15653
8066,15130
8066,979
8066,10274
8066,15296
8066,8872
8066,11081
8066,6236
8066,4581
8066,1290
8066,4672
8066,11314
8066,11201
8066,7431
8066,9119
8066,16085
8066,10795
8066,7787
8066,11501
8066,2676
8066,16023
8066,1420
8066,9099
8066,13306
8066,10979
8066,14984
8066,9794
8066,11971
8066,5794
8066,14085
8066,5199
8066,4660
8066,12556
8066,16274
8066,4915
8066,8580
8066,11378
8066,17298
8066,13880
8066,14096
8066,9259
8066,9058
8066,5507
8066,16345
8066,5645
8066,7988
8066,2546
8066,16003
8066,16007
8066,5942
8066,14546
8066,11637
8066,3226
8066,4337
8066,9457
8066,17272
8066,2295
8066,11747
4432,4539
4432,9882
4432,12704
4432,660
4432,7554
4432,7490
4432,16345
4432,9401
4432,6628
4432,15308
4432,10184
4432,2168
4432,2276
4432,5794
4432,10276
4432,13075
4432,14843
4432,9889
4432,1028
4432,2102
4432,8723
4432,14249
4432,4476
4432,159
4432,6569
4432,17639
4432,15712
4432,11518
4432,2349
4432,13015
4432,5790
4432,12714
4432,16128
4432,17282
4432,11733
4432,16540
4432,13634
4432,14536
4432,7283
4432,7587
4432,4337
4432,17812
4432,6141
4432,4647
4432,10997
4432,9432
4432,17298
4432,575
4432,16042
4432,1717
4432,3817
4432,10522
4432,10804
4432,14394
4432,7040
4432,1876
4432,16353
4432,9361
4432,8295
4432,15561
4432,3284
4432,4581
4432,6117
4432,105
4432,3903
4432,3565
4432,12771
4432,12789
4432,3226
4432,13915
4432,16067
4432,5942
4432,17943
4432,17272
4432,16003
4432,2291
4432,11976
4432,14096
4432,6335
4432,12853
4432,4963
4432,407
4432,12232
4432,2158
4432,56
4432,11637
4432,7431
4432,13415
4432,12076
4432,8829
4432,13404
4432,14185
4432,10408
4432,4036
4432,7279
4432,191
4432,7402
4432,11136
4432,74
4432,3228
4432,4750
4432,9313
4432,15496
4432,5898
4432,6076
4432,3134
4432,16875
4432,12730
4432,4186
4432,6322
4432,8631
4432,7975
4432,1224
4432,14606
4432,14728
4432,4654
4432,10859
4432,15493
4432,5512
4432,10373
4432,7990
4432,6266
4432,3749
4432,15289
4432,4512
4432,5854
4432,13217
4432,1983
4432,6222
4432,12000
4432,17816
4432,17341
4432,10208
4432,16024
5646,9883
5646,17094
5646,3046
5646,9486
5646,7033
5646,12660
5646,16397
5646,1456
5646,3053
5646,13584
5646,10184
5646,12344
5646,12704
5646,12916
5646,9795
5646,7683
5646,123
5646,16940
5646,1578
5646,4348
5646,16865
5646,6247
5646,15308
5646,9070
5646,6992
5646,1694
5646,15511
5646,15259
5646,13044
5646,10276
5646,9882
5646,6236
5646,13064
5646,6134
5646,10074
5646,14592
5646,3265
5646,3433
5646,11939
5646,16345
5646,15685
5646,8295
5646,980
5646,4581
5646,15653
5646,11501
5646,13420
5646,9324
5646,5942
5646,12771
5646,15632
5646,11556
5646,10514
5646,14983
5646,11314
5646,2291
5646,8580
5646,17282
5646,430
5646,11637
5646,2878
5646,13353
5646,13015
5646,17924
5646,14732
5646,7431
5646,10804
5646,11092
5646,13385
