,uid,iid,ts
0,0,28,951202800
1,0,26,951289200
2,0,27,951289200
3,0,24,951807600
4,0,23,952239600
5,0,15,971247600
6,0,14,972198000
7,0,0,973580400
8,0,13,973580400
9,1,40,963126000
10,1,42,963126000
11,1,45,963126000
12,1,46,963126000
13,1,47,963126000
14,1,37,963212400
15,1,33,970556400
16,2,57,955868400
17,2,55,956905200
18,2,54,960274800
19,2,49,964335600
20,3,61,963644400
21,3,63,963644400
22,4,78,947142000
23,4,79,947142000
24,4,75,947487600
25,4,76,947487600
26,4,73,947833200
27,4,72,947919600
28,4,69,964422000
29,4,68,973234800
30,5,91,958201200
31,5,92,958201200
32,5,89,958374000
33,5,85,958978800
34,5,83,959324400
35,5,80,961484400
36,6,113,960274800
37,6,115,960274800
38,6,106,963212400
39,6,107,963212400
40,6,109,963212400
41,6,103,966063600
42,6,101,977814000
43,7,127,962262000
44,7,128,962262000
45,7,125,962348400
46,7,126,962348400
47,7,122,962434800
48,7,119,962521200
49,7,121,962521200
50,8,133,962521200
51,8,134,962521200
52,8,137,962521200
53,8,120,962780400
54,8,130,962780400
55,9,145,965286000
56,9,143,965372400
57,9,140,973666800
58,9,141,973666800
59,10,150,947487600
60,10,151,947487600
61,10,149,948610800
62,10,147,961052400
63,11,163,955436400
64,11,156,956041200
65,11,157,956041200
66,11,153,956127600
67,12,170,959065200
68,12,172,959065200
69,12,168,959238000
70,12,167,962175600
71,13,180,945759600
72,13,177,954918000
73,14,195,947142000
74,14,193,954918000
75,14,192,955004400
76,14,187,1051167600
77,14,186,1060153200
78,14,185,1062313200
79,15,113,977986800
80,15,234,978073200
81,15,233,978159600
82,15,229,978418800
83,15,230,978418800
84,15,231,978418800
85,15,225,978505200
86,15,226,978505200
87,15,227,978505200
88,15,220,978678000
89,15,221,978678000
90,15,223,978678000
91,15,219,984207600
92,15,211,984466800
93,15,217,984466800
94,15,207,984553200
95,15,208,984553200
96,15,202,984639600
97,15,199,987490800
98,16,262,949734000
99,16,259,950338800
100,16,257,950684400
101,16,251,951289200
102,16,249,955090800
103,16,245,955177200
104,16,246,955177200
105,16,248,955177200
106,16,244,955263600
107,16,241,960620400
108,17,275,948178800
109,17,272,948351600
110,17,273,948351600
111,17,270,948697200
112,17,268,948783600
113,17,269,948783600
114,17,77,948956400
115,17,264,958806000
116,18,310,971506800
117,18,309,971593200
118,18,305,971679600
119,18,306,971679600
120,18,307,971679600
121,18,296,972025200
122,18,298,972025200
123,18,285,972975600
124,18,286,972975600
125,18,288,972975600
126,19,56,953881200
127,19,127,953881200
128,19,318,953967600
129,19,316,954226800
130,19,315,954486000
131,20,331,961484400
132,20,333,961484400
133,20,38,961570800
134,20,70,961570800
135,20,327,961570800
136,20,328,961570800
137,20,330,961570800
138,20,324,970038000
139,20,323,996044400
140,21,345,941094000
141,21,342,942303600
142,21,343,942303600
143,21,338,943772400
144,21,337,944982000
145,22,354,967878000
146,22,352,967964400
147,22,349,968050800
148,22,350,968050800
149,22,348,968223600
150,22,160,968310000
151,23,373,937206000
152,23,369,942822000
153,23,364,948092400
154,23,365,948092400
155,23,363,948265200
156,23,362,948697200
157,23,360,962089200
158,23,358,963126000
159,23,357,974617200
160,23,355,985417200
161,24,385,953967600
162,24,382,954399600
163,24,384,954399600
164,24,381,954486000
165,24,378,954572400
166,24,379,954572400
167,25,425,958460400
168,25,424,958546800
169,25,421,958892400
170,25,420,959238000
171,25,418,960534000
172,25,417,960966000
173,25,415,961743600
174,25,414,961830000
175,25,410,963644400
176,25,408,964162800
177,25,406,964335600
178,25,403,964508400
179,25,404,964508400
180,25,400,966236400
181,25,34,969865200
182,25,396,971247600
183,25,394,972284400
184,25,393,972370800
185,25,392,973062000
186,26,441,971506800
187,26,442,971506800
188,26,439,972025200
189,26,438,972975600
190,26,436,975049200
191,26,434,979023600
192,26,433,981356400
193,26,430,986022000
194,26,427,1013670000
195,27,453,946882800
196,27,452,946969200
197,27,449,947314800
198,27,448,947401200
199,27,447,947487600
200,27,445,949820400
201,28,484,956905200
202,28,482,957164400
203,28,483,957164400
204,28,480,957337200
205,28,45,960015600
206,28,474,960188400
207,28,475,960188400
208,28,265,962175600
209,28,342,962348400
210,28,471,968569200
211,28,470,970038000
212,28,469,970988400
213,28,468,971593200
214,28,466,975826800
215,28,464,985071600
216,28,463,985244400
217,28,458,1005289200
218,28,457,1016089200
219,29,503,953967600
220,29,502,954313200
221,29,500,956127600
222,29,499,957596400
223,29,496,973234800
224,29,494,982134000
225,30,507,957682800
226,30,505,957942000
227,31,534,976258800
228,31,533,976863600
229,31,532,977468400
230,31,529,979974000
231,31,527,981183600
232,31,528,981183600
233,31,525,984726000
234,31,524,987145200
235,31,522,988614000
236,31,521,989564400
237,31,519,992070000
238,31,518,993193200
239,31,517,994057200
240,31,516,995612400
241,31,513,1001660400
242,32,572,959583600
243,32,569,959670000
244,32,570,959670000
245,32,571,959670000
246,32,568,959929200
247,32,567,960188400
248,32,562,961398000
249,32,1,961830000
250,32,557,962780400
251,32,558,962780400
252,32,552,964162800
253,32,553,964162800
254,32,546,965458800
255,32,544,970988400
256,32,541,972802800
257,32,540,972889200
258,33,581,963903600
259,33,580,963990000
260,33,579,965286000
261,33,577,971074800
262,33,575,977295600
263,33,574,1027926000
264,34,590,971074800
265,34,585,976518000
266,34,588,976518000
267,35,460,947660400
268,35,624,948697200
269,35,102,948870000
270,35,469,948956400
271,35,622,948956400
272,35,623,948956400
273,35,621,949302000
274,35,302,949474800
275,35,615,949474800
276,35,616,949474800
277,35,618,949474800
278,35,374,949561200
279,35,612,949561200
280,35,605,949820400
281,35,603,949993200
282,35,127,950079600
283,35,600,950079600
284,35,601,950079600
285,35,598,959756400
286,35,594,969433200
287,36,634,953881200
288,36,631,977382000
289,36,630,989218800
290,36,627,1013670000
291,37,654,974703600
292,37,649,974962800
293,37,650,974962800
294,37,651,974962800
295,37,647,975308400
296,37,646,977036400
297,37,645,977122800
298,37,644,977209200
299,37,641,978159600
300,37,642,978159600
301,37,643,978159600
302,37,639,985158000
303,37,638,993452400
304,38,665,955263600
305,38,667,955263600
306,38,664,961484400
307,38,660,962002800
308,39,838,994489200
309,39,837,995612400
310,39,147,996735600
311,39,835,1001660400
312,39,833,1003561200
313,39,831,1004425200
314,39,830,1005980400
315,39,828,1010905200
316,39,827,1011510000
317,39,824,1014620400
318,39,822,1019372400
319,39,818,1023087600
320,39,817,1023778800
321,39,816,1024470000
322,39,815,1024642800
323,39,814,1024902000
324,39,813,1025766000
325,39,812,1026198000
326,39,811,1027321200
327,39,808,1032505200
328,39,41,1032850800
329,39,807,1034665200
330,39,806,1035183600
331,39,802,1036393200
332,39,801,1039590000
333,39,800,1040367600
334,39,799,1040540400
335,39,798,1041577200
336,39,797,1041750000
337,39,794,1043478000
338,39,790,1044514800
339,39,789,1045638000
340,39,785,1047625200
341,39,784,1047970800
342,39,782,1048834800
343,39,780,1049266800
344,39,778,1049871600
345,39,777,1050044400
346,39,776,1050390000
347,39,775,1051081200
348,39,774,1051254000
349,39,771,1052722800
350,39,768,1053846000
351,39,767,1054191600
352,39,766,1054710000
353,39,765,1054882800
354,39,764,1055746800
355,39,763,1056351600
356,39,762,1056870000
357,39,758,1058598000
358,39,757,1058770800
359,39,754,1062226800
360,39,753,1062486000
361,39,751,1063695600
362,39,750,1063782000
363,39,749,1065510000
364,39,748,1066201200
365,39,746,1067151600
366,39,743,1069743600
367,39,742,1070521200
368,39,741,1071471600
369,39,739,1071990000
370,39,738,1072162800
371,39,736,1073631600
372,39,735,1073804400
373,39,734,1074322800
374,39,733,1075273200
375,39,732,1075446000
376,39,725,1079247600
377,39,724,1081580400
378,39,723,1082098800
379,39,721,1083394800
380,39,715,1088146800
381,39,713,1091170800
382,39,710,1093158000
383,39,708,1097478000
384,39,707,1103526000
385,39,705,1104476400
386,39,704,1104562800
387,39,703,1104908400
388,39,702,1105167600
389,39,701,1105340400
390,39,700,1105513200
391,39,699,1106463600
392,39,698,1110006000
393,39,696,1114498800
394,39,694,1116831600
395,39,692,1123743600
396,39,691,1126681200
397,39,690,1127372400
398,39,689,1129532400
399,39,688,1133334000
400,39,686,1150009200
401,39,683,1172127600
402,40,852,969692400
403,40,846,970383600
404,40,847,970383600
405,40,844,970902000
406,40,845,970902000
407,40,843,970988400
408,40,841,972111600
409,41,60,951030000
410,41,63,951030000
411,41,867,951030000
412,41,868,951030000
413,41,859,955954800
414,41,861,955954800
415,41,862,955954800
416,41,863,955954800
417,41,854,962348400
418,41,855,962348400
419,42,254,952671600
420,42,886,953276400
421,42,883,959238000
422,42,880,961311600
423,42,879,961570800
424,42,878,962348400
425,42,877,962694000
426,42,617,963126000
427,42,875,963903600
428,42,871,964940400
429,42,872,964940400
430,43,900,970988400
431,43,898,973407600
432,43,897,973926000
433,43,894,974617200
434,43,891,975394800
435,43,890,993366000
436,44,920,938588400
437,44,922,938588400
438,44,916,939193200
439,44,913,939452400
440,44,914,939452400
441,44,908,939538800
442,44,909,939538800
443,44,911,939538800
444,44,905,940316400
445,44,906,940316400
446,45,957,972889200
447,45,953,972975600
448,45,954,972975600
449,45,955,972975600
450,45,949,973148400
451,45,947,975913200
452,45,945,978073200
453,45,941,978764400
454,45,939,979801200
455,45,938,980146800
456,45,936,985158000
457,45,41,985590000
458,45,935,986367600
459,45,932,1002697200
460,45,931,1003561200
461,45,929,1003734000
462,45,928,1006239600
463,45,927,1007103600
464,46,989,960966000
465,46,991,960966000
466,46,992,960966000
467,46,984,961052400
468,46,987,961052400
469,46,979,964508400
470,46,976,965199600
471,46,978,965199600
472,46,973,967446000
473,46,972,967705200
474,46,971,968655600
475,46,970,969606000
476,46,966,972543600
477,46,963,973580400
478,47,1030,963903600
479,47,1028,964076400
480,47,1025,964335600
481,47,1026,964335600
482,47,1024,964422000
483,47,1017,966322800
484,47,1018,966322800
485,47,1020,966322800
486,47,1014,966495600
487,47,1016,966495600
488,47,1010,966582000
489,47,1011,966582000
490,47,1012,966582000
491,47,1013,966582000
492,47,1008,966668400
493,47,1009,966668400
494,47,1007,966754800
495,47,1005,967273200
496,47,1001,971074800
497,47,1000,978246000
498,47,999,986194800
499,48,1041,955522800
500,48,1039,955695600
501,48,1037,955954800
502,48,6,957510000
503,49,1144,941871600
504,49,1143,941958000
505,49,1139,942044400
506,49,1141,942044400
507,49,1142,942044400
508,49,1138,942303600
509,49,1136,943858800
510,49,1135,943945200
511,49,1134,944031600
512,49,1132,945673200
513,49,1125,948870000
514,49,1122,948956400
515,49,1123,948956400
516,49,1120,949042800
517,49,1121,949042800
518,49,1118,949474800
519,49,1114,950943600
520,49,1115,950943600
521,49,1113,951289200
522,49,1111,952930800
523,49,1108,953708400
524,49,1095,954313200
525,49,570,954745200
526,49,1105,958114800
527,49,980,960879600
528,49,539,965286000
529,49,1090,965977200
530,49,974,967532400
531,49,1086,968310000
532,49,1082,971938800
533,49,536,974358000
534,49,1077,982911600
535,49,1075,986540400
536,49,23,992588400
537,49,1072,992588400
538,49,1065,1002610800
539,49,1063,1013324400
540,49,1061,1016953200
541,49,1058,1028790000
542,49,1057,1031209200
543,49,1055,1033023600
544,49,1051,1044687600
545,50,110,975654000
546,50,893,977814000
547,50,1148,978332400
548,50,1147,981529200
549,50,1146,986972400
550,51,1194,954140400
551,51,1195,954140400
552,51,1192,954658800
553,51,1193,954658800
554,51,1191,954918000
555,51,1190,955090800
556,51,1186,955609200
557,51,598,957250800
558,51,1180,958892400
559,51,1179,958978800
560,51,1178,960102000
561,51,915,962694000
