,uid,iid,ts
0,0,32,948783600
1,0,21,954399600
2,1,38,963126000
3,1,41,963126000
4,2,51,960793200
5,3,59,963730800
6,4,77,947228400
7,4,74,947574000
8,5,87,958633200
9,6,114,960274800
10,6,111,960274800
11,7,124,962348400
12,7,120,962521200
13,8,132,962521200
14,9,139,978591600
15,10,8,963212400
16,11,155,956041200
17,12,169,959065200
18,13,21,955609200
19,14,191,964162800
20,15,203,984639600
21,15,236,977986800
22,15,235,978073200
23,15,204,984639600
24,15,212,984466800
25,16,96,951116400
26,16,261,950166000
27,16,250,951548400
28,17,265,948956400
29,17,266,948783600
30,18,294,972284400
31,18,108,971506800
32,18,126,971593200
33,19,313,955868400
34,20,91,961484400
35,20,334,961484400
36,21,339,943686000
37,22,347,968223600
38,22,351,967964400
39,23,371,937206000
40,23,370,942735600
41,23,361,962089200
42,24,370,954486000
43,24,380,954486000
44,25,391,987404400
45,25,401,965804400
46,25,416,961398000
47,25,398,969865200
48,25,358,963212400
49,26,435,975999600
50,26,437,973753200
51,27,451,947055600
52,27,446,949302000
53,28,459,1005289200
54,28,261,984553200
55,28,477,957769200
56,28,481,957337200
57,29,493,982566000
58,30,504,957942000
59,31,535,976258800
60,31,514,1000450800
61,31,397,989650800
62,31,523,987836400
63,32,543,971161200
64,32,560,962694000
65,32,545,970815600
66,32,561,961743600
67,33,583,963298800
68,33,578,970556400
69,34,589,976172400
70,35,613,949561200
71,35,607,949561200
72,35,610,949561200
73,35,249,949474800
74,35,620,949388400
75,36,633,957510000
76,37,653,974790000
77,37,333,974703600
78,37,345,974790000
79,38,658,962780400
80,39,829,1010127600
81,39,791,1044342000
82,39,317,1028530800
83,39,786,1047020400
84,39,747,1066978800
85,39,729,1077260400
86,39,819,1022655600
87,39,773,1051599600
88,39,752,1063522800
89,39,756,1059548400
90,39,695,1115708400
91,39,770,1053068400
92,39,755,1061881200
93,39,250,992156400
94,39,826,1012201200
95,39,825,1013929200
96,39,706,1104303600
97,39,238,993970800
98,39,792,1043823600
99,39,832,1003993200
100,39,793,1043650800
101,39,711,1091948400
102,39,718,1087110000
103,40,848,970297200
104,40,849,970038000
105,41,866,951030000
106,41,857,956041200
107,42,888,952758000
108,42,874,964076400
109,42,234,961830000
110,43,116,975481200
111,44,923,938588400
112,44,502,939193200
113,44,907,940316400
114,45,930,1003561200
115,45,942,978591600
116,45,36,979023600
117,45,956,972975600
118,46,968,971766000
119,46,988,960966000
120,46,974,966927600
121,47,1019,966322800
122,47,1031,963903600
123,47,997,1051081200
124,47,1023,964422000
125,47,1029,964076400
126,48,265,956041200
127,49,561,941871600
128,49,1119,949474800
129,49,1056,1032159600
130,49,1069,994316400
131,49,1129,948265200
132,49,549,965199600
133,49,1076,983516400
134,49,1052,1042354800
135,49,1128,948265200
136,49,1097,962175600
