,uid,iid,ts
0,36722,1052,850722296
1,5683,376,839110811
2,4517,3054,1126638288
3,21988,113,945889687
4,7381,325,831897483
5,2694,1217,953622952
6,18739,1760,1111669090
7,11173,1883,997761669
8,7277,2410,1155116020
9,35770,1791,993062480
10,27369,4672,1165760170
11,2353,2587,992034160
12,10633,97,1124992975
13,30232,440,939142120
14,12068,1461,1180235000
15,6306,277,940362721
16,63,100,829429510
17,26833,739,1000902304
18,13244,1386,941273295
19,9401,2194,1107148064
20,12066,3263,1176493819
21,21378,790,857154043
22,4887,1649,1170618636
23,6295,2127,946783136
24,33460,1322,1013391976
25,4893,2419,1170933019
26,28610,206,1067960684
27,21467,420,835654023
28,21967,39,901211306
29,30897,2059,1105635803
30,13141,2434,1052512297
31,2147,191,902579630
32,16291,2194,1202673412
33,15187,277,1039669763
34,37068,2208,1191616926
35,20862,1178,1008485121
36,3143,451,979353076
37,30376,508,951602779
38,34660,4435,1200553000
39,23081,1648,965267000
40,10109,1963,996281557
41,6508,1529,953010129
42,14443,1765,981428252
43,557,128,835481344
44,24176,1123,1010905711
45,3007,704,974772456
46,30486,1466,967344120
47,28076,227,939657279
48,6806,2310,1026617223
49,5196,2252,1205451568
50,13011,1831,933374482
51,36779,1170,1191301222
52,7312,4332,1136690861
53,21061,1290,941288647
54,17971,278,965347467
55,11916,455,998844417
56,11822,1476,980118302
57,29204,1531,1189642104
58,18703,1585,1102929609
59,36112,1385,1153362487
60,17588,306,944892545
61,25101,2232,946943273
62,28133,660,943553556
63,9942,2365,974912794
64,22247,571,945065935
65,10404,1447,1049829572
66,36809,219,1140737956
67,33000,2525,1059525594
68,6267,34,1037147313
69,36427,1150,1173206215
70,13024,1494,1148048604
71,20243,318,839106839
72,6145,262,879685544
73,34571,4228,1015193131
74,28542,506,1042336197
75,5836,1,850397218
76,20223,678,837163624
77,4950,2985,1175279660
78,6201,1118,932738924
79,14369,580,973824364
80,2848,1585,965468483
81,27786,2203,975007924
82,2163,180,905175639
83,32223,3927,1016556502
84,1862,268,856530145
85,33866,194,1004217404
86,19308,102,845102238
87,25146,1124,953505895
88,13723,1775,1001111664
89,25896,49,839610242
90,10435,453,1065751582
91,23178,3898,1166070968
92,8676,546,837716853
93,37022,2902,974086046
94,2739,864,956579243
95,26667,434,976352161
96,24621,1749,1172148445
97,244,479,838583967
98,8852,1079,847265745
99,18030,697,970345152
100,15792,2374,1124383385
101,16558,547,862219736
102,15901,3405,1187311299
103,3033,2763,983069559
104,16829,99,848989397
105,20054,829,1130982810
106,7282,3547,1036980666
107,9094,154,860857608
108,10575,1630,1111652786
109,20437,635,860275410
110,551,665,835444504
111,33046,1801,1044463617
112,35412,2098,945103872
113,5813,5,848770719
114,29499,139,1029422150
115,19826,372,885152954
116,7986,248,939921335
117,6260,216,957752783
118,27267,3381,1118519654
119,23235,2707,945229584
120,25161,2207,955308574
121,9654,4752,1043348190
122,12074,166,1183556414
123,1311,110,844087722
124,8021,3131,940784961
125,34082,1749,960906822
126,33937,2636,1129700919
127,10882,3238,1203354929
128,12731,35,855539353
129,3400,2014,995138841
130,37417,3119,1203801598
131,9995,1540,1076955648
132,28240,2713,956963284
133,14676,719,997062856
134,2911,1845,967686483
135,20805,1601,991274298
136,6703,513,977077302
137,36395,247,943149604
138,14817,262,1006262531
139,7271,2175,1014702922
140,1170,169,841839837
141,9496,9,943880620
142,16215,1611,1190664506
143,2319,2313,966767184
144,22016,1792,1006642310
145,22281,94,955414260
146,591,51,835621333
147,1211,793,856846575
148,18346,2942,999578849
149,15599,1663,1108419547
150,32217,1812,1012636127
151,16170,2985,1181304091
152,28982,3971,1214688485
153,18772,2207,1118264329
154,3065,1202,975528793
155,11223,386,828969492
156,6543,2138,956586239
157,33394,791,986148754
158,8126,790,946771257
159,14084,2362,966987078
160,1837,69,854819315
161,6416,1821,944615568
162,2905,325,974678029
163,37143,1380,1031149497
164,17844,1103,956538602
165,12653,921,848990456
166,13300,2726,1135605209
167,33004,711,1008905107
168,3648,286,1016759361
169,11176,1603,1027817381
170,23425,2083,1077143334
171,20120,816,840813495
172,14781,2002,1004336326
173,8082,3044,944984086
174,3804,196,1036446167
175,3141,1388,979321307
176,21635,1068,1143348614
177,20623,1675,941587888
178,24093,2821,974764554
179,25416,1620,1034950103
180,13761,1145,1027521687
181,33732,1166,945134227
182,8294,1166,974738389
183,11806,1041,976334393
184,10289,1914,1031758875
185,13322,77,943013620
186,11571,2593,1008963042
187,3871,1946,1045207265
188,1635,1000,847819034
189,13631,1668,938816280
190,18086,288,974721349
191,10735,2946,1153902664
192,12061,1505,1171784331
193,15765,247,1118184044
194,27809,295,1014939665
195,31710,1311,977527297
196,36488,2978,1145626608
197,36203,1449,1047431056
198,34305,859,974676489
199,37394,77,940090112
200,4363,3810,1112737607
201,22992,513,901739472
202,18639,1675,1069603006
203,27021,551,1042765754
204,23256,868,1121895154
205,6633,1570,967656149
206,11858,5,994082861
207,34908,4041,976587415
208,13447,2261,945068947
209,15188,2914,1039468628
210,32679,3139,1042829069
211,34200,1963,1120619289
212,9779,222,947811364
213,18299,2047,994625807
214,16483,1190,1227698932
215,3318,181,992732074
216,14413,2118,1005619799
217,24064,1963,968624180
218,8492,2797,1201881903
219,18802,2459,1128033865
220,9150,328,864514054
221,20671,92,945305584
222,30410,2170,956585003
223,2155,1157,902852368
224,6751,1668,997476182
225,10,196,828048142
226,3468,1120,998915625
227,25368,1403,1010274389
228,31930,1359,938972940
229,27790,2398,980306983
230,24036,1374,960675523
231,33768,192,1095949428
232,8969,12,851382250
233,26648,838,975431299
234,14719,534,965055734
235,23131,515,1005533998
236,2835,1862,964983034
237,33933,3698,1096038323
238,19154,705,854483566
239,3478,31,1010706477
240,15344,4046,1222117975
241,36083,3196,1156281006
242,3595,1060,1008347296
243,19528,1555,956757330
244,26432,2016,959471924
245,13042,3323,940974203
246,9801,2263,963337780
247,10409,1234,1014010100
248,4328,86,1111543313
249,6818,3895,1188343767
250,34964,2829,1225249622
251,25087,455,946007625
252,1348,3,844624132
253,10874,4317,1201248550
254,36216,149,957596677
255,15830,2074,1137015187
256,2396,1291,942062898
257,204,119,832091861
258,9615,2095,946624047
259,35072,2824,1077823304
260,24654,1311,1226431316
261,6733,1386,991900402
262,9749,188,959266937
263,29047,829,1157243186
264,27801,725,993953267
265,12050,1821,1141352143
266,7268,2322,1009716623
267,18142,1842,975615046
268,25477,3641,1058580900
269,11627,2907,996902715
270,8416,1631,985126746
271,30486,135,967349206
272,11727,528,959911886
273,11781,1675,974712531
274,23853,1344,914716096
275,26732,281,958274860
276,30269,1123,942926923
277,3805,93,1067552213
278,30647,1605,1052554530
279,23621,1766,1055208623
280,14348,708,976986704
281,31330,1555,982467129
282,22331,1230,996191841
283,11939,2298,1021917805
284,10472,1447,1080258484
285,13972,379,941726788
286,27817,1436,1031123004
287,8794,331,844196235
288,25257,431,983834219
289,20128,3507,965238843
290,21792,153,863883884
291,25293,1597,983919214
292,23003,2273,938977235
293,3419,1923,1022023418
294,2828,1416,964026252
295,18030,1628,970343952
296,6806,3841,1026617543
297,13059,1344,938832139
298,15981,1963,1153394261
299,35591,435,1039460394
300,2708,2746,974003449
301,2748,1153,957025697
302,5979,592,860194419
303,22622,1373,938943783
304,3708,1486,1025236806
305,36209,3790,1129627782
306,4999,211,1181778377
307,3439,2049,996901807
308,1820,10,852823556
309,11064,667,835459222
310,14993,2170,1020734159
311,19978,2318,1217782406
312,32,110,828568752
313,19955,3054,1013478410
314,19483,1342,942961323
315,3178,3297,950914359
316,29638,1224,1015315177
317,31620,2207,976427465
318,20722,1676,954796527
319,22701,1204,945309103
320,6718,2202,981017789
321,37745,1372,950413900
322,17999,801,966130167
323,13868,2905,958091023
324,22039,4020,1225912816
325,27295,718,1127342690
326,3716,1142,1026074833
327,5130,4092,1197639232
328,11746,2021,965070120
329,28207,995,951849222
330,24753,1119,984617573
331,9481,1418,942724037
332,13536,1132,945891273
333,14855,2616,1056825029
334,14834,1386,1007158779
335,19650,2084,1021716211
336,19572,338,974698910
337,25665,3888,1228096890
338,5252,56,1213638667
339,10517,2072,1129992463
340,15113,910,1010630202
341,3007,2245,974772140
342,7974,1290,938978671
343,18048,1765,973306284
344,3178,2351,958519947
345,22346,840,1033131840
346,31837,3222,1230623403
347,24755,1502,1038416919
348,37522,2122,1121316426
349,11237,300,829904172
350,923,414,838300970
351,25528,2096,1107209852
352,23421,2802,1103765635
353,6069,221,866503451
354,4283,2779,1108437715
355,10052,257,990646231
356,28829,3171,1113372446
357,17599,16,1005442316
358,22806,2482,1060790748
359,2739,1472,966296885
360,23501,1062,1181165519
361,36484,1201,1111725419
362,2518,465,945133209
363,10559,1321,1110101747
364,8257,2383,967556087
365,34268,1415,943562188
366,8434,1184,1045632508
367,21630,1395,1124177523
368,10940,1630,1221073365
369,4253,1474,1105861060
370,17916,1177,962520461
371,24055,360,965625723
372,34805,665,866836239
373,18135,42,975267025
374,7091,393,856159669
375,3188,3973,1184584634
376,6617,1188,965105934
377,32339,2052,1127465981
378,14293,2571,974982352
379,16734,357,846254261
380,33833,2519,1047411988
381,15277,740,1047420008
382,25186,1040,959517545
383,10427,318,1060893951
384,18955,3466,1182638478
385,16910,139,830700181
386,32152,2035,978543131
387,34336,724,995640696
388,18837,1942,1137627461
389,4259,4226,923415483
390,6680,234,974843790
391,2814,1637,962922598
392,21638,2857,1139496542
393,10167,1279,1004509654
394,3049,2474,975105644
395,3024,636,974876851
396,3630,3784,1013594971
397,11927,1065,978741071
398,32572,2362,935540731
399,2111,322,898549202
400,6820,2652,1036683100
401,35338,749,867482577
402,25055,2163,945026468
403,31516,3555,1171552217
404,4793,1274,1161162360
405,10863,91,1068427861
406,11932,522,967090066
