user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
28527,3370,1650,1370,2397,2242,2009,2127,592,2414,2442,3053,1056,223,3063,1062,589,2095,1528,508,2656
11995,1510,227,1505,507,525,1168,1170,508,2120,802,804,1179,1120,1125,1486,2435,2580,2246,800,226
6336,264,379,583,775,199,1343,2228,28,1370,221,91,1625,1791,26,281,1531,1533,571,574,240
30906,227,718,293,508,616,223,740,427,226,262,1349,507,724,455,235,489,439,716,799,737
25169,1342,739,1062,270,231,184,2261,958,426,249,643,223,256,1180,305,282,723,590,722,1320
17264,220,292,489,745,481,475,293,297,827,230,983,1111,137,148,705,134,1028,414,327,953
17817,36,235,448,1671,106,1164,1151,248,1379,181,508,1126,1122,1156,805,547,1170,1718,608,1120
31772,1150,78,1798,1145,1325,1510,1148,4291,1926,1802,506,1601,1567,3421,4059,29,1505,2928,82,3082
4510,230,78,1800,489,1133,1798,1315,144,891,1320,1945,1272,1424,1326,1325,1164,712,2122,1190,1132
27114,1340,1133,1164,1128,1132,436,1318,1325,722,1125,1285,1193,1247,1150,238,1316,1190,1240,1115,437
27254,1220,1141,1164,1145,1126,1241,1798,1178,1112,1765,1209,1120,1128,1125,236,1210,616,1802,1113,265
10434,93,237,270,253,231,435,3085,701,258,739,1075,2016,1342,1649,267,259,643,75,249,24
30316,1449,590,1336,439,807,589,592,426,723,875,2127,572,1592,2207,1453,580,1370,279,739,262
5686,372,234,13,221,99,307,7,291,278,2,352,10,279,16,504,513,26,741,515,212
34943,793,2014,1527,1994,1296,1318,1271,2215,1293,1937,1848,1239,1113,1230,2055,1540,1315,1530,2642,1876
10935,2194,1931,1930,2931,2537,2213,1247,1315,2979,1142,3429,3888,2122,1523,1292,1531,2076,1649,1836,237
24030,1344,583,379,571,1824,1655,2228,271,91,1592,2262,574,2046,1562,1666,1825,595,1203,1370,77
21543,472,1629,768,4785,1017,705,657,1730,1882,220,482,181,78,29,204,1111,1023,872,474,134
4108,1831,1112,427,740,891,227,132,1137,1140,523,525,2431,2062,1849,1164,1610,1920,1058,1449,580
6866,1160,725,291,8,644,35,1378,1164,1125,280,379,163,515,721,1122,1386,1190,279,1343,356
33150,1407,272,2037,1944,2187,1415,859,722,1396,87,273,1588,857,638,1180,2039,739,1576,864,354
24960,426,1342,252,1585,508,740,249,587,572,262,551,244,600,1349,1446,1449,226,2096,1405,2127
34491,262,580,228,590,723,426,1449,231,254,588,1336,508,592,2127,875,1062,589,1342,252,282
19115,46,490,68,36,295,634,110,42,33,478,108,331,106,102,393,178,47,401,315,493
20295,1,16,11,8,372,10,192,189,41,101,279,369,291,91,166,54,199,234,360,221
3996,1929,1659,1317,1577,830,1655,1749,52,1654,961,1292,174,1824,1275,1649,1062,679,2175,54,1660
7894,401,110,42,179,51,812,64,493,19,279,175,160,1151,35,478,490,139,614,418,119
26122,132,438,174,238,551,711,436,702,441,159,1112,267,258,263,212,179,10,2,600,41
12396,372,290,16,1,291,30,307,26,2,8,279,19,36,7,60,278,33,166,13,101
21109,717,718,511,796,800,2046,637,1429,2737,575,1270,91,1250,704,518,810,98,1373,570,1041
35211,1930,1931,2194,1285,2213,2856,1149,1272,1142,1649,1283,2122,3294,1531,2076,1240,3203,3429,1247,2886
22282,1239,1230,1234,1229,2014,1670,1178,725,1133,236,951,1128,1241,448,1293,1848,1527,1379,1113,333
33357,1204,628,1230,951,1239,1670,1703,793,50,236,1530,102,288,110,138,59,1193,333,1196,1316
909,1,7,372,103,60,8,291,10,11,307,41,36,178,2,52,180,179,279,9,106
6709,1660,1250,504,1502,430,2058,252,2737,1429,99,459,2262,1590,1390,1461,802,1386,1350,2246,1343
7869,34,291,1,372,515,369,35,11,13,1154,212,519,378,8,356,637,279,176,513,7
34764,2886,1150,1918,2250,1798,3031,1145,1232,1630,1209,2459,1804,1802,2928,3246,1604,1112,1123,1327,236
447,372,2,11,9,8,166,1,291,212,16,12,101,318,290,13,163,199,15,41,360
28933,259,49,1285,1283,1275,237,435,77,1836,63,739,6,1123,176,701,71,2856,1149,174,2931
29028,426,723,226,1610,262,2824,1140,1133,231,589,2650,1378,508,1801,2062,739,249,279,1660,1568
14577,1798,2580,1743,1800,2868,1133,2790,1926,1141,1241,1160,1136,3421,1164,1567,656,1325,1549,1150,2619
13347,589,1122,1597,429,737,252,1378,263,1449,1650,1387,1589,2500,75,1502,2127,1370,1660,257,277
3967,858,2014,1961,428,1292,1296,1128,1842,2484,204,1139,1937,1220,1999,1125,587,1947,1447,1274,1277
32376,2194,436,2427,1931,1568,574,1285,2213,2618,1315,829,91,1577,1142,1610,2886,1325,1213,428,1930
238,181,175,102,9,608,176,321,6,493,388,187,174,478,60,180,63,154,24,200,37
33915,1650,590,2261,739,592,574,1578,257,223,701,199,228,1449,2127,1342,572,231,91,440,723
