user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
23548,22,98,33,635,147,301,68,2,478,531,38,676,418,790,315,46,471,332,17,401
20408,427,600,248,616,55,78,712,262,33,1,378,318,36,10,372,263,702,511,293,11
28820,1610,2194,2431,1606,2979,1931,2123,2006,2076,2724,2631,2931,2824,2251,1795,2985,1325,1285,2486,1150
29103,262,231,254,2272,2249,701,1148,24,223,75,1648,1823,261,2251,3337,1357,523,1326,188,1217
15121,1184,2293,281,1958,326,285,2673,2262,431,99,1610,1336,1409,2016,2500,511,1177,1344,1387,1660
552,179,114,68,106,303,108,490,140,175,331,43,103,15,49,181,45,102,295,95,654
2850,1588,1203,579,1667,883,1217,1944,702,184,2359,1415,87,273,970,2052,1834,1576,1943,2555,1117
29666,51,401,45,119,70,295,146,139,103,4,127,420,106,102,59,418,20,95,111,331
31074,2979,3085,1931,1610,2537,2194,2464,2431,3888,2122,9,2062,1523,2650,643,2076,49,1285,192,93
27142,262,75,2650,2431,231,588,1116,2427,958,508,176,580,244,2580,1591,49,224,1453,1112,452
31533,3888,3727,2453,1610,2194,2979,3963,3582,2803,2537,3883,2431,2650,3060,2985,1651,2076,1523,2123,2724
33625,1610,1931,2194,1659,2427,2979,2650,2076,1322,2122,2431,2824,2500,2537,2985,1929,2886,1247,1119,1326
16961,292,466,134,20,1111,539,1195,654,146,690,313,489,821,293,137,835,323,220,849,633
27414,2806,2795,1246,2985,2431,3963,2824,1935,2939,2194,2623,3196,2857,2934,2486,2531,2537,3292,3249,2812
364,108,102,654,21,110,104,59,5,373,10,317,95,162,291,418,303,139,70,60,106
31119,1145,1836,1133,1150,1142,1247,1320,2886,2979,1325,2194,1116,437,2431,1215,244,2618,1930,3085,43
5911,303,478,413,301,41,17,147,38,154,42,635,493,108,315,211,331,10,165,531,4
32920,179,1152,1230,2047,1235,1229,94,107,2418,2010,236,114,1279,110,829,1180,239,441,883,1588
1642,9,372,41,52,193,10,189,2,6,24,221,174,188,60,308,1,132,13,325,8
