user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
5506,356,360,13,163,5,68,291,206,616,318,290,331,30,644,372,176,315,504,108,42
29175,2814,183,2977,2625,2374,2940,186,2981,2252,13,3888,192,2194,2453,2803,3251,2985,1610,3916,640
22547,947,598,462,923,867,665,478,565,218,493,635,303,315,301,729,886,138,359,745,743
6053,565,866,1037,826,147,860,337,790,287,665,632,409,846,476,471,923,745,218,1085,610
1319,107,110,40,9,97,60,94,6,103,187,70,102,114,218,69,322,176,180,304,119
21136,635,303,33,301,46,64,51,295,42,30,332,304,119,218,413,179,39,118,298,393
6040,459,1,458,16,356,721,99,221,447,326,516,545,502,278,232,478,519,511,360,567
32198,269,679,34,65,1836,960,1531,729,1317,306,1961,961,1800,1567,722,638,1735,373,1576,435
33915,1453,257,2574,256,439,572,2650,1578,1336,1823,1958,1648,2242,582,440,739,807,2261,93,253
3820,1127,1744,2787,784,9,608,2629,2850,181,3551,1599,140,49,3168,2895,1530,46,322,1663,1884
23147,227,587,588,425,293,427,722,231,1488,226,1062,643,1595,600,1414,616,1355,1453,2959,2110
1051,10,372,188,212,290,13,19,2,33,16,12,68,11,307,106,221,181,1,24,179
33797,1583,1656,2714,2175,1589,1666,1333,2262,2296,1660,2357,1397,193,203,1382,24,1643,2260,1460,1749
35478,2473,1842,2472,244,1863,1984,1965,2056,2084,951,1237,2134,239,2054,862,1630,2136,793,1939,1709
26827,635,118,1161,413,218,1955,650,628,1233,1236,301,598,304,1192,38,1231,1196,1253,236,478
6135,519,221,279,192,518,183,224,75,13,372,504,305,360,582,243,589,513,8,507,1154
37065,2194,2006,1610,2737,2484,1848,2530,1931,1660,1601,1117,2824,2801,1113,1825,2118,3193,2486,1937,2098
1442,9,372,307,132,188,24,181,178,15,6,212,12,106,16,1453,41,291,608,175,11
11219,99,372,186,1,360,662,290,352,318,35,193,458,8,269,356,504,55,16,101,163
21237,634,345,46,295,39,51,181,144,303,294,137,118,317,20,332,490,494,45,140,113
2315,1824,1825,11,280,1460,13,223,326,9,253,32,703,1618,1659,515,438,774,1828,1373,519
21367,944,510,462,652,3271,476,376,564,683,279,558,445,487,191,478,7,1412,197,243,924
15655,2100,1317,829,1247,2123,2122,1531,3800,84,722,2931,961,1800,1326,1296,1310,2261,1963,2066,1214
33929,275,2402,2574,552,2375,1824,2280,1592,2242,2232,583,2313,2400,2231,84,3548,1584,1356,2420,2207
36321,2625,2123,2410,2046,2430,194,1355,2968,4254,2484,34,2971,3473,1610,3233,660,1326,2482,433,1502
29527,519,1502,1590,1405,1416,518,2442,796,227,804,708,2246,2262,1510,800,1067,1427,1423,1175,291
20448,459,626,369,232,279,415,501,287,234,416,278,324,176,352,1,11,569,549,964,576
37714,1836,1317,2213,2940,1610,1931,2979,1579,2076,3564,2856,3888,4254,2824,2178,1282,1326,1934,3668,3798
5427,3767,4196,4165,3762,1300,586,56,2815,1311,3313,2062,1930,2464,1613,2537,1531,3429,1523,2699,2940
28191,1209,829,87,289,1113,674,1235,2821,1317,1292,638,1123,1961,239,69,58,1577,621,258,378
26742,1241,1963,1276,1798,2062,1297,1664,50,1140,1133,1670,236,1921,286,1879,3241,1123,1659,1193,1800
27429,3292,1935,176,1315,2252,2813,2886,2486,1612,2985,181,1931,3586,2795,6,2076,2934,3801,2530,1123
402,269,234,6,24,519,221,34,209,11,243,7,193,91,176,502,32,188,216,278,383
5496,372,13,51,458,290,447,11,176,490,110,12,295,356,179,19,160,212,291,303,2
28866,1577,1931,722,1142,1610,1531,2194,306,2979,3085,1649,2122,83,159,428,1824,574,1315,237,2062
498,372,290,356,490,19,176,114,10,393,295,21,291,16,644,15,140,96,1,212,13
19592,2092,1443,585,1165,1959,1867,1946,2110,2264,1357,1341,1374,212,441,1455,1267,2099,1434,1412,1566
25483,432,1595,1062,807,183,2274,253,460,1075,32,1056,85,269,1654,440,184,306,232,591,1203
7999,1820,523,580,317,801,441,87,1340,1178,262,1160,273,1420,711,1163,265,236,378,1229,1154
30547,519,1277,291,808,1,515,46,1163,30,504,2048,1112,448,573,356,2060,1585,1344,221,848
20413,1,13,35,356,644,502,513,504,166,360,178,318,254,234,232,193,183,741,519,8
5660,326,13,99,352,464,807,232,14,172,721,214,182,450,26,545,10,502,183,41,887
36417,241,34,637,573,810,2046,1378,1067,99,360,718,507,429,518,75,1794,1132,798,708,227
6123,515,1356,516,459,711,13,741,233,430,717,511,518,267,637,551,429,589,718,221,234
26802,1475,1395,507,2701,266,1136,2060,2312,1719,953,626,2246,1417,1137,1756,1659,1166,1165,1461,1479
18054,1827,888,2959,1384,960,481,235,1361,20,864,87,1633,1630,1566,1658,80,616,489,282,1448
424,19,10,114,70,2,106,178,372,303,39,140,103,55,132,489,33,179,69,293,161
1226,35,33,352,549,303,301,68,200,298,264,66,138,313,28,413,653,5,678,16,70
36425,3233,2122,2123,2076,1247,4164,2856,2625,2985,3888,2484,2940,3250,2931,2072,1150,2252,3473,2803,1930
14111,75,1436,1416,723,1336,1958,425,1425,2289,1139,2015,2402,1352,1420,2261,71,2264,1357,63,1485
24271,2482,1920,2272,2249,3795,2122,1247,2486,2631,3031,1827,2252,1798,808,2076,2928,3386,4254,2625,1150
12233,1,372,8,291,35,290,106,11,15,178,10,212,33,7,114,2,1154,427,30,187
14570,1121,218,1241,1942,1138,418,57,333,2362,619,784,1132,114,2572,1086,2134,1292,73,34,628
11500,1,8,279,518,515,1154,360,248,13,513,290,508,372,21,11,519,221,511,192,804
13920,1080,1820,2356,427,1359,580,1528,1340,84,2216,1943,740,1420,616,2039,1414,1056,244,585,1349
17863,6,1190,1240,104,1122,24,81,519,5,35,360,100,1133,144,181,29,212,1123,644,1460
31973,1842,1406,87,1940,1274,1205,1710,1266,579,1361,1173,2161,1849,593,1166,1396,1405,2040,1412,1180
19658,2163,1823,1405,2357,1218,2402,1749,2682,2235,1416,2231,2650,579,3053,2193,1656,593,523,639,2865
36054,3227,3702,3636,3124,1599,3225,2879,3228,3493,2956,1784,2451,3231,3665,3237,2007,205,3742,2375,275
19105,46,68,179,448,634,33,103,2,317,106,322,94,490,295,178,114,70,109,15,110
29968,1379,393,1237,462,448,1412,1178,1112,1747,1443,1135,1341,1338,1388,1585,1165,1384,2048,180,2264
29068,1285,181,1123,812,176,1295,1178,585,1963,1142,2486,1133,2431,1392,1148,1272,289,2062,1193,1340
12888,572,256,643,41,306,237,252,221,582,1577,9,280,262,174,238,515,263,253,228,91
17478,1169,55,273,1180,639,506,579,269,1040,593,441,1203,724,848,621,859,1126,221,1380,857
30569,1590,2177,2033,1344,1373,1413,1643,519,318,1824,1376,573,229,2263,431,243,582,13,518,1559
29002,11,49,585,176,231,257,98,24,572,221,79,452,244,637,254,212,1163,741,711,643
15364,2062,2172,84,1637,1918,1193,1142,1963,288,2008,829,2047,1140,593,657,1180,793,1235,951,1159
4656,1931,24,1605,1659,2650,1142,1606,1930,1920,1577,1610,1562,228,249,2931,1568,1655,1795,2194,1654
11829,393,448,848,218,135,63,317,1709,1863,2186,1110,97,953,94,1633,352,525,245,634,1311
23899,99,518,1163,429,637,504,1350,430,644,1341,515,35,741,507,516,372,1156,427,1165,711
33435,1113,525,953,644,804,507,1848,1170,1165,616,1126,1675,1479,1110,802,1477,1833,1849,21,1395
466,106,33,46,291,8,21,13,634,490,372,360,317,11,212,163,68,178,10,30,1
21988,351,86,535,726,546,129,729,74,676,1623,128,56,388,784,80,619,1196,2035,1314,697
11729,534,774,286,2228,1620,516,1585,1385,431,703,2555,1559,519,1692,1342,1344,775,214,1373,2293
28859,268,1947,271,436,519,91,2918,515,1117,2435,1086,2778,2002,66,586,1125,227,1848,1175,1616
22943,13,228,305,192,221,186,310,459,249,256,75,907,1,182,279,515,661,589,372,226
27234,1930,1142,1150,596,2618,1931,1086,1664,1655,2213,1315,243,2779,1582,1316,3250,1568,2194,1597,5
