user_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
28105,434,586,437,438,1180,585,1213,739,848,80,551,1414,1207,1152,1135,441,231,1116,643,1125
22662,1589,2058,2228,2737,429,269,717,704,232,595,281,166,797,1450,1337,1350,2198,1114,2242,276
18953,1935,2928,2795,3292,2886,2530,4165,3586,2813,1805,2824,2831,1613,3308,3313,3235,3196,2252,1297,1148
21326,30,317,103,178,448,33,106,490,180,634,46,290,43,41,1,21,108,357,279,413
12724,54,132,159,174,60,162,114,41,2,52,69,19,304,1190,307,44,166,333,33,264
12790,249,1189,460,308,1828,174,270,240,228,132,54,209,1188,253,222,1062,282,1656,305,254
9111,702,711,307,19,212,265,233,96,174,331,740,439,179,132,279,587,103,2,228,638
14191,1132,1127,82,1292,1320,1215,437,255,1316,1283,237,80,1209,2172,1235,1128,231,1315,1213,1918
9387,581,711,308,221,516,575,91,741,266,639,253,582,101,389,430,1585,1578,550,247,1203
9885,87,1219,1572,621,859,1576,1194,1398,225,1944,862,2187,8,1203,239,306,274,2359,245,244
25083,228,723,426,716,425,440,583,34,719,572,306,226,799,797,269,842,807,592,704,708
3741,6,1240,9,1133,1275,1145,176,1272,181,1320,1116,608,1148,1164,1190,1378,1597,3,2194,1193
37673,808,639,716,252,2228,575,717,1486,1585,809,800,702,718,708,2362,801,724,2058,439,595
18729,282,244,6,52,258,209,54,255,237,270,81,1132,1836,434,7,1240,574,256,1190,1274
7868,269,848,29,107,360,100,279,30,724,70,293,428,373,87,8,204,36,227,78,80
2079,174,222,132,197,1397,159,138,237,486,169,59,109,657,57,512,264,1216,1134,287,2642
2276,270,254,277,24,282,231,249,209,237,305,262,53,228,9,2124,2650,701,7,256,582
29831,1213,97,441,596,1274,1229,1086,1318,585,1582,1315,1316,43,206,1118,702,725,1178,1125,1824
11314,51,294,128,332,821,345,127,113,353,295,118,207,107,323,64,102,494,146,33,860
16916,87,739,722,584,621,436,740,273,103,322,1040,97,94,437,711,34,180,441,179,859
16996,303,401,38,64,478,315,298,413,147,146,304,57,45,333,220,649,4,39,63,33
26845,97,304,1240,174,638,441,1229,255,132,608,951,187,434,282,812,107,103,82,114,322
10908,1611,3915,84,2879,3228,3888,2537,2694,2979,1523,3037,2076,579,3548,2163,2940,1300,3308,2680,2213
9447,1154,378,2,264,229,268,462,1643,596,280,81,1676,848,502,274,291,271,279,179,180
24162,1170,616,104,206,1174,1171,770,953,1675,29,481,1952,163,293,890,427,1110,802,507,1313
2036,551,425,441,244,76,305,585,711,262,437,268,176,1340,228,1118,43,249,725,259,600
33037,1748,1747,1946,1552,812,2762,1902,1765,551,1012,2099,3080,2110,1414,2037,1321,1210,740,1785,1459
37229,1316,1240,2629,1198,1730,1582,1848,82,2907,2172,2847,2642,2906,1274,2364,1540,1842,1629,858,1397
28477,679,2052,1180,2359,2062,84,2178,961,950,435,250,56,3037,1306,829,1219,3564,1637,1816,237
8710,206,36,96,304,211,35,303,162,106,21,103,413,393,608,294,634,176,46,95,218
25565,3875,583,2968,2272,2682,1371,1592,2242,2404,2448,3052,2009,517,4405,2169,4246,249,2127,2676,2124
27342,2250,2928,1297,3246,3250,3031,1327,3767,3313,3586,1804,2525,3424,1918,1800,1805,1246,2813,3196,3855
6168,569,195,369,704,518,458,352,331,182,360,13,192,186,516,16,459,721,637,1040,585
15811,2979,2464,3250,2886,2213,174,2530,1963,1613,209,2062,1142,1283,1247,0,2194,3586,1931,1133,59
7047,188,162,0,176,60,96,166,54,10,132,373,93,55,24,101,159,237,16,69,181
14309,2099,638,441,812,265,1118,1133,87,1178,1311,238,1594,551,1207,1210,1274,1127,1318,740,76
15923,1133,162,1142,2213,1930,1664,1150,1272,248,1148,1164,1597,1141,1568,1285,2979,1202,1292,597,181
31420,426,273,572,82,950,96,1957,2418,1206,1586,597,2359,739,1123,1485,2052,93,2519,679,1414
35386,1395,1067,1171,1364,716,800,1250,230,507,1174,802,1170,1168,1633,1461,1064,1120,1423,1169,1719
2008,174,181,50,175,43,665,64,57,401,528,170,211,413,676,129,301,437,598,102,561
