Dataset,Model,BestEpoch,R@20,N@20,HR@20,R@50,N@50,HR@50
CiaoDVD,MF,48,0.11143756627924993,0.059624434424730755,0.2162773172569706,0.19190546838225575,0.0792402515106526,0.3315749811605124
CiaoDVD,DICE,49,0.08800282508361415,0.04758801015080535,0.17935192162773173,0.1632222966104814,0.06613103041330305,0.29540316503391106
CiaoDVD,IDICE-no-social,49,0.09948760032121533,0.05150560155561726,0.19291635267520724,0.17446733393312025,0.0697523219393266,0.3006782215523738
CiaoDVD,IDICE,48,0.09754230418520665,0.054134349361392886,0.19216277317256972,0.16947911758568443,0.07197592744158535,0.3044461190655614
CiaoDVD,IDICE-low-social,46,0.0959052125300041,0.05171220128275838,0.18010550113036924,0.1721777993677928,0.07030665969035356,0.29691032403918616
CiaoDVD,IDICE-high-social,45,0.11034911938528345,0.0556994094261295,0.2132629992464205,0.19162569434121043,0.07546189818140361,0.33685003767897514
Epinions,MF,11,0.01662584595364053,0.010016480455287056,0.05926700418225842,0.03173684856550405,0.014258066855466933,0.10598723310587717
Epinions,DICE,29,0.02827932908805964,0.017184962594819914,0.09030376403257759,0.04974191180067328,0.02307426166950636,0.14593880695575612
Epinions,IDICE-no-social,29,0.02885451478768825,0.01802440225576436,0.09278010125467753,0.05128598128933597,0.024206604335979476,0.1524323134492626
Epinions,IDICE,29,0.02801385966752845,0.0179030251387795,0.09261501210653753,0.04951193747969332,0.023821276146097484,0.1505062733876293
Epinions,IDICE-high-social,29,0.029101176134692385,0.01782532050038904,0.09316530926700418,0.051415435437177595,0.02403779755711595,0.15391811578252257
