model,topk,avg_pop,longtail_ratio,coverage,num_users
DICE,20,19.406442642211914,0.05380557648831952,0.9491279069767442,1327
DICE,50,16.556608200073242,0.06642049736247174,0.9956395348837209,1327
IDICE,20,19.301469802856445,0.055388093443858324,0.9534883720930233,1327
IDICE,50,16.536911010742188,0.06777694046721928,0.9963662790697675,1327
IDICE-high-social,20,19.308252334594727,0.055538809344385834,0.9513081395348837,1327
IDICE-high-social,50,16.573503494262695,0.06824415975885456,0.9992732558139535,1327
IDICE-low-social,20,19.176488876342773,0.05881688018085908,0.9513081395348837,1327
IDICE-low-social,50,16.32372283935547,0.07275056518462698,0.997093023255814,1327
IDICE-no-social,20,18.942087173461914,0.054182366239638284,0.9665697674418605,1327
IDICE-no-social,50,16.287158966064453,0.07026375282592313,0.997093023255814,1327
MF,20,27.6862850189209,0.05712132629992464,0.9447674418604651,1327
MF,50,22.345109939575195,0.07801055011303692,0.998546511627907,1327
